pert_iname	moa
eicosatetraynoic-acid	Cyclooxygenase inhibitor|Lipoxygenase inhibitor
IWP-L6	Porcupine inhibitor
leflunomide	Dihydroorotate dehydrogenase inhibitor|PDGFR inhibitor
mercaptopurine	Immunosuppressant|Protein synthesis inhibitor|Purine antagonist
rifabutin	Protein synthesis inhibitor
CGP-37157	Calcium channel blocker|Mitochondrial Na+/Ca2+ exchanger antagonist|Sodium/calcium exchange inhibitor
4-HQN	PARP inhibitor
stemregenin-1	Aryl hydrocarbon receptor antagonist
BMS-536924	IGF-1 inhibitor
BRD-K71726959	CDK inhibitor
pitavastatin	HMGCR inhibitor
KU-0060648	DNA inhibitor|PI3K inhibitor
ouabain	Na/K-ATPase inhibitor
cetraxate	Mucus protecting agent
BRD-K48969316	Caspase inhibitor
bromebric-acid	Purine antagonist|DNA inhibitor
VU-0413807-2	Calcium channel blocker
oxyphenbutazone	Cyclooxygenase inhibitor
GW-501516	PPAR receptor agonist|Insulin sensitizer
butein	EGFR inhibitor|Src inhibitor
edrophonium	Acetylcholinesterase inhibitor
alfacalcidol	Vitamin D receptor agonist
J-104129	Acetylcholine receptor antagonist
norgestrel	Progesterone receptor agonist
praziquantel	Anthelmintic
NPI-2358	Tubulin inhibitor
eprosartan	Angiotensin receptor antagonist
leucodin	Melanin inhibitor
cefadroxil	Bacterial cell wall synthesis inhibitor
AM-281	Cannabinoid receptor antagonist
L-670596	Prostanoid receptor antagonist
remoxipride	Dopamine receptor antagonist
hispidin	PKC inhibitor
olopatadine	Histamine receptor antagonist
DMAB-anabaseine	Adrenergic receptor agonist
RS-504393	CC chemokine receptor antagonist
zafirlukast	Leukotriene receptor antagonist
benzathine	Bacterial cell wall synthesis inhibitor
garcinol	Histone N-acetyltransferase inhibitor
fluoxetine	Selective serotonin reuptake inhibitor (SSRI)
methylnorlichexanthone	Aurora kinase inhibitor|PIM inhibitor|VEGFR inhibitor
AMN-082	Glutamate receptor antagonist
IC-261	Casein kinase inhibitor
BRD-K44932450	Progesterone receptor agonist
sulfadiazine	Bacterial antifolate
diloxanide	Protein synthesis inhibitor
carbimazole	Antithyroid agent
anamorelin	Growth hormone secretagogue receptor agonist
dibenzepin	Norepinephrine inhibitor
tremulacin	Lipoxygenase inhibitor
nobiletin	MEK inhibitor
HA-1004	Calcium channel blocker
NSC-3852	HDAC inhibitor
BNTX	Opioid receptor antagonist
chlormadinone	Progesterone receptor agonist
naftopidil	Adrenergic receptor antagonist
lofepramine	Norepinephrine inhibitor|Serotonin reuptake inhibitor
BTS-54505	Dopamine receptor antagonist|Adrenergic receptor antagonist|Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor
todralazine	Antihypertensive
PD-160170	Neuropeptide receptor antagonist
tamoxifen	Estrogen receptor antagonist
ispinesib	Kinesin inhibitor
betazole	Histamine receptor agonist
SB-269970	Serotonin receptor antagonist
BIX-01338	Histone lysine methyltransferase inhibitor
nalbuphine	Opioid receptor agonist|Opioid receptor antagonist
fenpiverinium	Acetylcholine receptor antagonist
vernakalant	Potassium channel antagonist
edoxaban	Coagulation factor inhibitor
lapatinib	ErbB2 inhibitor
BRD-K65856711	Phosphodiesterase inhibitor
HG-5-113-01	Protein kinase inhibitor
digitoxin	Na/K-ATPase inhibitor
YK-4279	Apoptosis stimulant|ETV1 inhibitor
torasemide	Thromboxane receptor antagonist
PD-166793	Metalloproteinase inhibitor|Collagenase inhibitor
tenofovir	Reverse transcriptase inhibitor|HIV inhibitor
astemizole	Histamine receptor antagonist
alendronic-acid	Bone resorption inhibitor
remacemide	Glutamate receptor antagonist
desloratadine	Histamine receptor antagonist
sulfametopyrazine	PABA antagonist
pepstatin	Aspartic protease inhibitor
meclofenamic-acid	Cyclooxygenase inhibitor|Prostanoid receptor antagonist
BRD-K48195008	Estrogen receptor agonist|Estrogenic hormone
tolperisone	Voltage-gated sodium channel blocker
ZD-2079	Adrenergic receptor agonist
niclosamide	DNA inhibitor|STAT inhibitor
rilpivirine	Non-nucleoside reverse transcriptase inhibitor
PNU-74654	Beta catenin inhibitor
genz-644282	Topoisomerase inhibitor
noscapine	Bradykinin receptor antagonist|Tubulin inhibitor
benzohydroxamic-acid	Antifungal
AP-26113	ALK inhibitor
oxiconazole	Bacterial cell wall synthesis inhibitor
PD-169316	P38 MAPK inhibitor
acyclovir	DNA inhibitor
piperacetazine	Dopamine receptor antagonist
BRD-K49657628	EGFR inhibitor|Tyrosine kinase inhibitor
FIT	Opioid receptor agonist
Ro-3306	CDK inhibitor
cyclazosin	Adrenergic receptor antagonist
EMD-1214063	HGF receptor inhibitor
KIN001-244	PDK1 Inhibitor
liranaftate	Fungal squalene epoxidase inhibitor
sulfadimidine	PABA antagonist
diprotin-a	Dipeptidyl peptidase inhibitor
H-8	PKA inhibitor
meticrane	Diuretic
telmesteine	Mucolytic
JNK-9L	JNK inhibitor
sodium-nitrite	Nitric oxide donor|Nitric oxide stimulant
oseltamivir-carboxylate	Neuraminidase inhibitor
NNC-05-2090	GAT inhibitor|GABA uptake inhibitor
ixabepilone	Tubulin inhibitor
oxetacaine	Anesthetic - local
picotamide	Thromboxane receptor antagonist|Thromboxane synthase inhibitor
BRD-K91691979	Glucosylceramidase inhibitor
hexylresorcinol	Anesthetic - local
pinaverium	Calcium channel blocker
terfenadine	Histamine receptor antagonist
entecavir	DNA inhibitor|Reverse transcriptase inhibitor
abiraterone	Androgen biosynthesis inhibitor
mead-ethanolamide	Cannabinoid receptor agonist
pempidine	Ganglionic blocker
pyridoxine	Vitamin B
C-1	Protein kinase inhibitor
demecarium	Acetylcholinesterase inhibitor
GGTI-298	GGTase inhibitor
BD-1063	Sigma receptor antagonist
erythrosine	Coloring agent
digoxigenin	Na/K-ATPase inhibitor
PHA-848125	CDK inhibitor|Growth factor receptor inhibitor
doconexent	PPAR receptor agonist
zimelidine	Serotonin reuptake inhibitor
cefdinir	Bacterial cell wall synthesis inhibitor
tacalcitol	Vitamin D receptor agonist
lobeline	Acetylcholine receptor antagonist
BRD-K48099440	Prostanoid receptor antagonist
LM-1685	Cyclooxygenase inhibitor
BRD-K58930050	Glutamate receptor antagonist
chelidonine	Tubulin inhibitor
thiamphenicol	Bacterial 50S ribosomal subunit inhibitor
nisoldipine	Calcium channel blocker
HO-013	PPAR receptor agonist
amiodarone	Potassium channel blocker
BRD-K10136726	Chymotrypsin inhibitor
T-98475	Gonadotropin receptor antagonist
PD-173074	FGFR inhibitor|VEGFR inhibitor
oxolamine	Antitussive
bisbenzimide	DNA binding agent
hexamethyleneamiloride	Sodium channel inhibitor
temazepam	GABA receptor agonist
D-64131	Tubulin inhibitor
lesinurad	Uric acid diuretic
LY-255283	Leukotriene receptor antagonist
EPZ-5676	DOT1L inhibitor
cefoxitin	Bacterial cell wall synthesis inhibitor
captopril	ACE inhibitor
BRD-K93367411	Kelch-like ECH-associated protein ligand
nitrofural	Bacterial DNA inhibitor
CGP-71683	Neuropeptide receptor antagonist
NMS-1286937	PLK inhibitor
CP-91149	Glycogen phosphorylase inhibitor
brefeldin-a	Protein synthesis inhibitor|Brefeldin A inhibited guanine nucleotide exchange protein inhibitors|Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor inhibitor
ursolic-acid	11-beta-HSD1 inhibitor|Acetylcholinesterase inhibitor|Caspase inhibitor|HIV protease inhibitor|Lipid peroxidase inhibitor|Quorum sensing signaling modulator|Steryl sulfatase inhibitor|Tyrosine phosphatase inhibitor|ATPase inhibitor|NFKB inhibitor|STAT inhibitor
azilsartan	Angiotensin receptor antagonist
ganetespib	HSP inhibitor
urethane	Anesthetic - local
BRD-K15380626	Adrenergic receptor antagonist
anisomycin	DNA inhibitor
dimenhydrinate	Histamine receptor antagonist
CGP-53353	EGFR inhibitor|PKC inhibitor
AZD-1208	PIM inhibitor
digoxin	ATPase inhibitor
WZ-3146	EGFR inhibitor
H-9	PKA inhibitor
SU-11274	Hepatocyte growth factor receptor inhibitor|Tyrosine kinase inhibitor
pacritinib	FLT3 inhibitor|JAK inhibitor
YM-90709	IL5 inhibitor
taselisib	PI3K inhibitor
clotrimazole	Cytochrome P450 inhibitor|Imidazoline ligand
clobutinol	Antitussive
SQ-29548	Thromboxane receptor antagonist
anisodamine	Lipid peroxidase inhibitor
TCDD-dioxin	Aryl hydrocarbon receptor activator
BRD-A71657825	Matrix metalloprotease inhibitor
BRD-K26011976	Topoisomerase inhibitor
BRD-K54729176	HDAC inhibitor
methoprene-acid	Retinoid receptor agonist
BRD-K12567312	GABA receptor antagonist
BRD-K86305586	Glutamate receptor agonist
rilmenidine	Imidazoline receptor agonist
lobaric-acid	Tyrosine phosphatase inhibitor
compound-w	Beta secretase inhibitor
MLN-0128	MTOR inhibitor
BRD-K73709114	Glucosylceramidase inhibitor
VU-0404997-2	Glutamate receptor antagonist
KI-8751	VEGFR inhibitor|KIT inhibitor|PDGFR inhibitor
PHCCC	Glutamate receptor agonist
tiaprofenic-acid	Cyclooxygenase inhibitor
GDC-0349	PIM inhibitor
triamcinolone	Glucocorticoid receptor agonist|Immunosuppressant
dalargin	Opioid receptor agonist
hyperoside	Glucosidase inhibitor
ouabain	ATPase inhibitor
naloxone-benzoylhydrazone	Opioid receptor antagonist
fosamprenavir	HIV inhibitor
5-nonyloxytryptamine	Serotonin receptor agonist
trifluridine	DNA inhibitor|Thymidylate synthase inhibitor
anthothecol	Antimalarial
lucitanib	FGFR inhibitor|VEGFR inhibitor
fludrocortisone-acetate	Glucocorticoid receptor agonist|Mineralocorticoid receptor agonist
ABT-702	Adenosine kinase inhibitor
reversine	Aurora kinase inhibitor
BRD-A39747742	Estrogen receptor agonist
benzydamine	Prostanoid receptor antagonist
deguelin	NADPH inhibitor
IKK-16	IKK inhibitor
spectinomycin	Bacterial 30S ribosomal subunit inhibitor
oxybutynin	Acetylcholine receptor antagonist
L-citrulline	Nitric oxide stimulant
sanguinarium-chloride	Acetylcholinesterase inhibitor|Apoptosis stimulant|Caspase activator|FtsZ inhibitor|Rho associated kinase inhibitor
harmane	Monoamine oxidase inhibitor
orphenadrine	Acetylcholine receptor antagonist
BW-373U86	Opioid receptor agonist
bromosporine	Bromodomain inhibitor
cisplatin	DNA synthesis inhibitor
AZD-7545	PDK inhibitor
temoporfin	Radical formation stimulant
MDL-29951	Glutamate receptor antagonist
danusertib	Aurora kinase inhibitor|FGFR inhibitor
Ro-04-5595	Glutamate receptor antagonist
lavendustin-c	EGFR inhibitor
bilobalide	GABA receptor modulator
tyrphostin-47	EGFR inhibitor
epothilone	Tubulin inhibitor
ebselen	Cyclooxygenase inhibitor|Glutathione peroxidase agonist|H+/K+-ATPase inhibitor|Nitric oxide synthase inhibitor
thiazolidinecarboxylic-acid	Glutathione synthase stimulant
dropropizine	Antitussive
heraclenol	Vitamin K antagonist
tioguanine	Purine antagonist
trichlormethiazide	Chloride channel blocker
mofezolac	Cyclooxygenase inhibitor
butylscopolammonium	Anticholinergic
L-655708	GABA receptor antagonist
ritonavir	HIV protease inhibitor
esculin	Antioxidant
A-7	Calmodulin inhibitor
sulbactam	Beta lactamase inhibitor
WZ-4-145	EGFR inhibitor
GW-1929	PPAR receptor agonist|Insulin sensitizer
somatostatin	Somatostatin receptor agonist
dicycloverine	Acetylcholine receptor antagonist
monastrol	Kinesin inhibitor
SKF-83959	Dopamine receptor antagonist
cortisol	Glucocorticoid receptor agonist
angiogenesis-inhibitor	Angiogenesis inhibitor
Ro-90-7501	Beta amyloid inhibitor
niridazole	Phosphofructokinase inhibitor
RN-1	Histone lysine demethylase inhibitor
parachlorophenol	Anti-inflammatory
ethylestrenol	Progesterone receptor agonist
iodoacetic-acid	Cysteine peptidase inhibitor
rociletinib	EGFR inhibitor
radezolid	Bacterial 30S ribosomal subunit inhibitor|Bacterial 50S ribosomal subunit inhibitor
SKF-82958	Dopamine receptor agonist
guvacine	GABA receptor antagonist
CS-917	Fructose biphosphate inhibitor
nomegestrol	Progesterone receptor agonist
perphenazine	Dopamine receptor antagonist
sulfachlorpyridazine	Bacterial antifolate
oxacillin	Bacterial cell wall synthesis inhibitor
meloxicam	Cyclooxygenase inhibitor
BRD-K41170226	G protein-coupled receptor agonist|Biliverdin reductase A activator
LY-2784544	JAK inhibitor
metaxalone	Muscle relaxant
benactyzine	Butyrylcholinesterase inhibitor
foxy-5	WNT inhibitor
BML-266	SIRT inhibitor
benzocaine	Sodium channel inhibitor
QL-X-138	MTOR inhibitor
ciprofibrate	PPAR receptor agonist
BRD-K59333713	Adrenergic receptor antagonist
adiphenine	Acetylcholine receptor antagonist
DG-041	Prostanoid receptor antagonist
BRD-A61599461	Thyroid-stimulating hormone receptor inverse agonist
SNX-2112	HSP inhibitor
ochratoxin-a	Phenylalanyl tRNA synthetase inhibitor
lincomycin	Bacterial 30S ribosomal subunit inhibitor
troxerutin	Antioxidant
perindopril	Angiotensin converting enzyme inhibitor
zopiclone	GABA receptor agonist
imipramine	Norepinephrine inhibitor|Serotonin reuptake inhibitor
BRD-K34685430	Dopamine receptor antagonist|Serotonin receptor antagonist
asenapine	Serotonin receptor antagonist
costunolide	Telomerase inhibitor
celiprolol	Adrenergic receptor antagonist
temefos	Cholinesterase inhibitor
ursodeoxycholyltaurine	Cholesterol inhibitor
triptolide	RNA polymerase inhibitor
oprozomib	Proteasome inhibitor
brivanib	VEGFR inhibitor
sulfadoxine	Dihydropteroate synthase inhibitor
AVN-944	Inosine monophosphate dehydrogenase inhibitor
pronetalol	Adrenergic receptor antagonist
helveticoside	Na/K-ATPase inhibitor
AT-13387	HSP inhibitor
N-MPPP	Opioid receptor agonist
BRD-K44408410	HIF Inhibitor
tyramine	Catechol O methyltransferase inhibitor
rhamnetin	Aldose reductase inhibitor
octreotide	Somatostatin receptor agonist
BRD-A29731977	Progesterone receptor agonist
malonoben	Protein tyrosine kinase inhibitor
cefixime	Bacterial cell wall synthesis inhibitor
alpha-tocopherol	Antioxidant
fosfosal	Phosphodiesterase inhibitor
methscopolamine	Acetylcholine receptor antagonist
ergocryptine	Dopamine receptor agonist
byssochlamic-acid	Mycotoxin
N-6022	Alcohol dehydrogenase inhibitor
methyl-testosterone	Androgen receptor agonist
AZD-1283	Purinergic receptor antagonist
PKI-179	MTOR inhibitor|PI3K inhibitor
BRD-K68783079	DYRK inhibitor
hydroquinine	Antiarrhythmic
salidroside	Beta amyloid inhibitor
trans-cinnamaldehyde	Aldose reductase inhibitor|TRPV agonist
bropirimine	Interferon inducer
chlordiazepoxide	Benzodiazepine receptor agonist
Ro-25-6981	Vesicular monoamine transporter inhibitor
manidipine	Calcium channel blocker
miglustat	Glycosylation inhibitor
felbinac	Cyclooxygenase inhibitor
paricalcitol	Vitamin D receptor agonist
PRX-08066	Serotonin receptor antagonist
valspodar	P-glycoprotein inhibitor
HTMT	Histamine receptor agonist
triflusal	Cyclooxygenase inhibitor|Platelet aggregation inhibitor|Thromboxane synthase inhibitor
BRD-K15241725	Vesicular monoamine transporter inhibitor
droxinostat	HDAC inhibitor
peucedanin	Apoptosis stimulant
mephenesin	Muscle relaxant
pamidronate	Bone resorption inhibitor
R-547	CDK inhibitor
deserpidine	ACE inhibitor
adaprev	TGF-beta receptor inhibitor
methapyrilene	Histamine receptor antagonist
ditolylguanidine	Sigma receptor agonist
BMS-833923	Smoothened receptor antagonist
BRD-A85216385	Dopamine receptor antagonist
nicorandil	Nitric oxide donor|Potassium channel activator
AC-264613	PAR agonist
vigabatrin	GABA aminotransferase inhibitor
RG-2833	HDAC inhibitor
ZK-756326	CC chemokine receptor agonist
TG-003	CLK inhibitor
isoflupredone-acetate	Glucocorticoid receptor agonist
valrubicin	DNA inhibitor|Topoisomerase inhibitor
BRD-K42205652	Src inhibitor|Syk inhibitor
ICI-118551	Adrenergic receptor antagonist
benzoic-acid	Precursor for food preservatives, plasticizers and medicinal compounds
KHS-101	Neural stem cell inducer
spermidine	Glutamate receptor antagonist
Merck60	HDAC inhibitor
spiradoline	Opioid receptor agonist
plumbagin	Anticancer agent
I-BRD9	Bromodomain inhibitor
BRD-K61691971	Nucleophosmin inhibitor
rifapentine	RNA polymerase inhibitor
BRD-K59670716	DNA alkylating agent|DNA synthesis inhibitor
COL-3	Matrix metalloprotease inhibitor
almitrine	Neurotransmitter agonist
dirithromycin	Bacterial 50S ribosomal subunit inhibitor
bietaserpine	Vesicular monoamine transporter inhibitor
STF-62247	Autophagy inducer
gallic-acid	PPAR receptor agonist|Beta amyloid inhibitor
artemether	Antimalarial
AZD-2014	MTOR inhibitor
etomidate	Membrane integrity inhibitor|GABA receptor modulator|Membrane permeability inhibitor
mosapride	Serotonin receptor agonist
skepinone-l	P38 MAPK inhibitor
chenodiol	11-beta-HSD1 inhibitor
SB-205607	Delta 1 opioid receptor agonist
BRD-K67582595	Dopamine receptor agonist
tioconazole	Sterol demethylase inhibitor
BRD-K13629382	Acetylcholinesterase inhibitor
MDL-11939	Serotonin receptor antagonist
BRD-K20152659	Cholesterol inhibitor|Platelet aggregation inhibitor|Prostanoid receptor agonist
pibenzimol	DNA inhibitor
galeterone	Androgen receptor antagonist
latamoxef	Bacterial cell wall synthesis inhibitor
L-750667	Dopamine receptor antagonist
pyrithyldione	Psychoactive drug
EPZ-015666	PRMT inhibitor
VU-0365114-2	M5 modulator
isoquercetin	Aldose reductase inhibitor
fenthion	Cholinesterase inhibitor
Ro-04-6790	Serotonin receptor antagonist
WAY-170523	Metalloproteinase inhibitor
BRD-K47869605	Tubulin inhibitor
strophanthidin	Na/K-ATPase inhibitor
BRD-K39569857	Nucleophosmin inhibitor
bupropion	Dopamine receptor antagonist
meglitinide	Potassium channel antagonist
GR-159897	Tachykinin antagonist
BRD-A73929928	Adenosine receptor agonist
etamsylate	Haemostatic agent
ryuvidine	Histone lysine methyltransferase inhibitor
testosterone-propionate	Androgen receptor agonist
penicillic-acid	Antibiotic
albendazole	Tubulin inhibitor
RGFP-966	HDAC inhibitor
SB-228357	Serotonin receptor antagonist
rotenone	Mitochondrial inhibitor
fomepizole	Alcohol dehydrogenase inhibitor
diminazene-aceturate	ACE inhibitor|DNA intercalating agent|Topoisomerase inhibitor
zeranol	Estrogen receptor agonist
valaciclovir	DNA inhibitor
ormetoprim	Bacterial antifolate
WAY-629	Serotonin receptor agonist
Fluoro-SAHA	HDAC inhibitor
favipiravir	RNA polymerase inhibitor
atazanavir	HIV inhibitor
amprenavir	HIV inhibitor
ON-01910	PLK inhibitor
hydroxytyrosol	HIV inhibitor
tubacin	HDAC inhibitor
thiamine	Vitamin B
rhodomyrtoxin	Carcinogen|DNA intercalating agent
solifenacin	Acetylcholine receptor antagonist
GSK-1059615	PI3K inhibitor
BRD-A92439610	Immunosuppressant|Corticosteroid agonist|Glucocorticoid receptor agonist
resmethrin	Cytochrome P450 inhibitor
BRD-K13544237	Dopamine receptor agonist
amoxicillin	Penicillin binding protein inhibitor
KU-14R	Imidazoline ligand
dutasteride	5-alpha reductase inhibitor
SCH-79797	Proteasome inhibitor
dizocilpine	Glutamate receptor antagonist
cilazapril	ACE inhibitor
JW-7-24-1	LCK Inhibitor
lomitapide	Microsomal trigylceride transfer protein inhibitor
pomalidomide	Angiogenesis inhibitor|TNF inhibitor
butyrolactone	Histone acetyltransferase inhibitor
YM-09151-2	Dopamine receptor antagonist
BRD-K82216340	Progesterone receptor agonist
QX-222	Sodium channel inhibitor
methiazole	Anthelmintic
sarmentogenin	Na/K-ATPase inhibitor
ramifenazone	Cyclooxygenase inhibitor
cymarin	ATPase inhibitor
dinaciclib	CDK inhibitor
MRE-269	Prostanoid receptor agonist
securinine	GABA receptor antagonist|p53 activator
MG-132	Proteasome inhibitor
CGS-15943	Adenosine receptor antagonist
anguidine	Protein synthesis inhibitor
allantoin	Product of purine catabolism used in cosmetics
lithium-chloride	Antiviral
LFM-A12	EGFR inhibitor
cosmosiin	Cytochrome P450 inhibitor
dictamnine	Furoquinoline alkaloid
mammea-a	Antibiotic
SU-6656	Src inhibitor
BRD-K04546108	JAK inhibitor
isoeugenol	Nitric oxide production inhibitor
selinidin	Mast cell stabilizer
ER-27319	Syk inhibitor
RS-17053	Adrenergic receptor antagonist
z-leu3-VS	Proteasome inhibitor
AG-370	PDGFR inhibitor
L-165041	PPAR receptor agonist
veratridine	Sodium channel activator
PD-198306	MAP kinase inhibitor|MEK inhibitor
W-13	Calmodulin inhibitor
PP-2	Src inhibitor
aminopurvalanol-a	Tyrosine kinase inhibitor|CDK inhibitor
dactinomycin	RNA polymerase inhibitor
AG-490	ErbB2 inhibitor
CGS-12066B	Serotonin receptor agonist
prunetin	Breast cancer resistance protein inhibitor
prometon	Photosynthesis inhibitor
pirinixic-acid	PPAR receptor agonist
GBR-13069	Dopamine receptor antagonist
methyl-angolensate	Apoptosis inhibitor
econazole	Lanosterol demethylase inhibitor|Bacterial cell wall synthesis inhibitor|Sterol demethylase inhibitor
hinokitiol	Tyrosinase inhibitor
W-12	Calmodulin inhibitor
prednisolone	Glucocorticoid receptor agonist
dehydrocholate	Choleretic agent
NSC-663284	CDC inhibitor
GW-7647	PPAR receptor agonist
bisindolylmaleimide-ix	PKC inhibitor
GW-3965	LXR agonist|ABC transporter expression enhancer
bithionol	Autotaxin inhibitor
fluvastatin	HMGCR inhibitor
lumicolchicine	Colchicine isomer, non-binder of microtubules
amperozide	Dopamine receptor antagonist
ethotoin	Hydantoin antiepileptic
calyculin	Protein phosphatase inhibitor
fluocinolone-acetonide	Corticosteroid agonist|Glucocorticoid receptor agonist
naringin	Cytochrome P450 inhibitor
gelsemine	Acetylcholine receptor antagonist|Glycine receptor antagonist
leu-enkephalin	Opioid receptor agonist
cercosporin	Photoactivated toxin
digitoxigenin	Na/K-ATPase inhibitor
BVT-948	Tyrosine phosphatase inhibitor
MAZ-51	VEGFR inhibitor
metyrapone	Cytochrome P450 inhibitor
purvalanol-a	CDK inhibitor|DYRK inhibitor
VAMA-37	DNA inhibitor
hydrocortisone-hemisuccinate	Glucocorticoid receptor agonist
periplocymarin	Apoptosis stimulant
hydrocortisone-acetate	Corticosteroid agonist|Glucocorticoid receptor agonist
paxilline	Potassium channel antagonist
protopine	Histamine receptor antagonist
BRD-A47144777	HSP inhibitor
CHEMBL-1222381	Neural stem cell inducer
PIK-75	PI3K inhibitor
SU-11652	Tyrosine kinase inhibitor
BRD-A41630653	Glutamate receptor antagonist
BRD-K73610817	XIAP inhibitor
BRD-K76211160	Cytochrome P450 inhibitor
ML-213	Potassium channel activator
BRD-K88761633	Glucosylceramidase inhibitor
BRD-A32917072	ROR antagonist
CAM-9-026	Membrane integrity inhibitor
BRD-K16618170	Lysophospholipid receptor agonist
SF-11	Neuropeptide receptor antagonist
VU-0418947-2	HIF modulator
BRD-K20401833	ROR inverse agonist
clopidogrel	Purinergic receptor antagonist
ML-130	NOD1 inhibitor
BRD-K85853281	Topoisomerase inhibitor
ropivacaine	Sodium channel inhibitor
BRD-K73589401	Mineralocorticoid receptor agonist
cefaclor	Bacterial cell wall synthesis inhibitor
dexchlorpheniramine	Histamine receptor antagonist
ampiroxicam	Cyclooxygenase inhibitor
benproperine	Antitussive
vindesine	Tubulin inhibitor
testosterone	Aromatase inhibitor
flubendazole	Tubulin inhibitor
nitazoxanide	Antiprotozoal
dichloroacetic-acid	PDK inhibitor
5-FP	Thymidylate synthase inhibitor
cephalexin	Bacterial cell wall synthesis inhibitor
flurbiprofen	Cyclooxygenase inhibitor
halometasone	Glucocorticoid receptor agonist
pilocarpine	Acetylcholine receptor agonist
tunicamycin	GLCNAC phosphotransferase inhibitor
OM-137	Aurora kinase inhibitor
MW-STK33-3B	Potassium channel activator
CAY-10470	NFKB inhibitor
VU-0418946-1	Hypoxia inducible factor activator
cytochalasin-d	Tubulin inhibitor
KI-16425	Lysophosphatidic acid receptor antagonist
CGP-60474	CDK inhibitor
tyrphostin-A9	Protein tyrosine kinase inhibitor|Tyrosine kinase inhibitor
chromomycin-a3	DNA binding agent
hyperforin	Cyclooxygenase inhibitor|Dopamine uptake inhibitor|Interleukin inhibitor|Lipoxygenase inhibitor|Serotonin reuptake inhibitor
BRD-K18135438	11-beta-HSD1 inhibitor|FXR agonist
verrucarin-a	Protein synthesis inhibitor
calmidazolium	Calcium channel blocker|Calmodulin antagonist
lestaurtinib	Growth factor receptor inhibitor
SB-408124	Orexin receptor antagonist
CS-110266	Dopamine receptor agonist
BRD-A07765530	Carbonic anhydrase activator
benzatropine	Acetylcholine receptor antagonist
doxycycline	Metalloproteinase inhibitor
griseofulvin	Tubulin inhibitor
heliomycin	ATP synthase inhibitor|Other antibiotic
acetylcholine	Acetylcholine receptor agonist
levonorgestrel	Glucocorticoid receptor antagonist
BRD-K66766661	Estrogen receptor agonist
III606050	Cytochrome P450 inhibitor
oxytetracycline	Bacterial 30S ribosomal subunit inhibitor
sulfaguanidine	Bacterial antifolate
nifenazone	Analgesic
ampicillin	Bacterial cell wall synthesis inhibitor
clorgiline	Monoamine oxidase inhibitor
moroxydine	Antiviral
acetylsalicylsalicylic-acid	Cyclooxygenase inhibitor
tranexamic-acid	Fibrinogen stimulant|Plasminogen activator inhibitor
etofylline	Adenosine receptor antagonist
sulfaphenazole	Dihydropteroate synthase inhibitor
ampyrone	Cyclooxygenase inhibitor
BRD-K08111712	Protein synthesis inhibitor
hexamethonium	Cholinergic receptor antagonist
hycanthone	RNA synthesis inhibitor
BRD-K85767870	Adenosine receptor agonist
flumequine	Bacterial DNA Gyrase inhibitor
hydroxyzine	Antihistamine
pimethixene	Antihistamine
acemetacin	Cyclooxygenase inhibitor
diperodon	Anesthetic - local
clofilium	Potassium channel antagonist
metitepine	Anti-HCVE2
hemicholinium-3	Acetylcholine receptor antagonist
heptaminol	Vasoconstrictor
lomefloxacin	Bacterial DNA Gyrase inhibitor
pentoxyverine	Acetylcholine receptor antagonist
levodopa	Dopamine receptor agonist
gallamine	Cholinergic receptor antagonist|Acetylcholine receptor antagonist
neomycin	Bacterial 30S ribosomal subunit inhibitor
amikacin	Bacterial 30S ribosomal subunit inhibitor
antazoline	Antihistamine
BRD-M15413738	Bacterial 30S ribosomal subunit inhibitor
famprofazone	Cyclooxygenase inhibitor
hexetidine	Anesthetic - local
etiocholanolone	GABA receptor antagonist
cloperastine	Antitussive
artemisinin	DNA synthesis inhibitor
flurandrenolide	Glucocorticoid receptor agonist
esatenolol	Adrenergic receptor antagonist
suxibuzone	Cyclooxygenase inhibitor
flunixin	Prostanoid receptor antagonist
atropine	Acetylcholine receptor antagonist
eserine	Cholinesterase inhibitor
avermectin	Anthelmintic
methoxamine	Adrenergic receptor agonist
citiolone	Mucolytic
leucovorin	Folate receptor ligand
aceclidine	Acetylcholine receptor agonist
ciclopirox	Membrane integrity inhibitor
butamben	Sodium channel inhibitor
opipramol	Sigma receptor agonist
BRD-K56483981	Glutamate inhibitor|Macrophage inhibitor
ethoxyquin	Antioxidant
finasteride	5 alpha reductase inhibitor
7-aminocephalosporanic-acid	Beta lactamase inhibitor
vatalanib	KIT inhibitor|PDGFR inhibitor|VEGFR inhibitor
prenylamine	Calcium channel blocker
tenatoprazole	Proton pump inhibitor
tetraethylenepentamine	Superoxide dismutase inhibitor
nadide	Electron acceptor
haloprogin	Antifungal
loracarbef	Bacterial cell wall synthesis inhibitor
atractyloside	Mitochondrial inhibitor
kinetin	Cell cycle inhibitor
cefalotin	Bacterial cell wall synthesis inhibitor
carbarsone	Antiprotozoal
clorsulon	Glycolysis inhibitor
methylatropine	Atropine derivative
viloxazine	Serotonin receptor antagonist
ethynodiol	Steroidal progestin
nafcilline	Bacterial cell wall synthesis inhibitor
deptropine	Histamine receptor antagonist
bretylium	Norepinephrine inhibitor
nadifloxacin	Bacterial DNA Gyrase inhibitor
iodixanol	Radiopaque medium
enilconazole	Sterol demethylase inhibitor
